Residential property sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 8 April 2025],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of sales:,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,Sep-96,Sep-97,Sep-98,Sep-99,Sep-00,Sep-01,Sep-02,Sep-03,Sep-04,Sep-05,Sep-06,Sep-07,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23,Area,mnemonic
64,10106,12852,11051,11941,13686,13087,15276,13753,14460,10705,13870,14472,8909,6514,8413,7510,7772,8553,10922,10789,11489,11467,11208,11156,9268,15593,10723,7827,ladu2023:North Yorkshire,E06000065
65,2721,3099,3047,3283,3767,4133,4980,5037,5340,4667,5323,5614,3862,2181,2431,2488,2465,2664,3093,3117,3437,3793,3874,3921,3052,4483,3832,2783,ladu2023:Barnsley,E08000016
66,3767,4385,4559,5217,5524,5845,6942,7014,6799,5350,5869,6679,4185,2423,2670,2759,2700,3064,3894,4016,4342,4364,4550,4593,3819,5388,4711,3208,ladu2023:Doncaster,E08000017
67,3326,3664,3605,3738,4229,4579,5165,4801,5210,4160,4579,5051,3273,1870,2320,2216,2458,2619,3524,3323,3723,3539,3444,3383,3118,4776,3646,2691,ladu2023:Rotherham,E08000018
68,6439,7617,7778,8299,8977,9543,10607,10552,10410,9746,10521,11130,7850,4553,5558,5141,5354,5779,7339,7248,7496,7400,7443,7423,5933,8432,6488,5230,ladu2023:Sheffield,E08000019
69,7764,8641,8375,9022,9900,10751,12581,12813,13252,11173,13050,13683,7956,4387,5056,4551,4515,5134,6774,6717,7168,7253,7297,7529,5879,8877,7066,5455,ladu2023:Bradford,E08000032
70,3140,3513,3722,3998,4236,4355,5044,5186,5597,4750,5579,5704,3528,2004,2471,2233,2269,2541,3221,3281,3229,3260,3362,3239,2569,4132,3080,2456,ladu2023:Calderdale,E08000033
71,5668,6817,6874,7029,7272,8160,9348,9061,9619,7580,9369,10086,6210,3689,4255,4078,4294,4424,5554,5427,6219,6111,6105,6295,5220,7850,5872,4423,ladu2023:Kirklees,E08000034
72,10926,13495,13334,14737,15708,15222,17896,17024,18835,14255,18156,18922,10958,7385,8625,7673,8102,9298,12089,11672,12825,12263,12129,11847,9640,14276,10147,8130,ladu2023:Leeds,E08000035
73,4339,4929,5012,5509,5893,6353,7438,6524,7184,5546,6079,7094,4553,2608,2896,2767,3100,3300,4406,4729,5639,5773,5683,5659,4565,6810,5481,3478,ladu2023:Wakefield,E08000036
74,3725,4222,4360,4769,4801,5154,5870,5519,5500,4347,5477,5719,3592,2374,3006,2849,2704,2974,3772,3609,3724,3628,3651,3337,2842,4023,3249,2440,ladu2023:Derby,E06000015
75,3603,3462,3816,4524,5134,5425,5839,6023,6069,4448,5529,5896,3611,2108,2941,2681,2394,2593,3240,3391,3634,3336,3293,2998,2092,3035,2693,1995,ladu2023:Leicester,E06000016
76,587,751,681,755,897,855,998,850,925,778,863,833,545,425,525,485,476,617,769,777,816,742,728,685,540,914,590,441,ladu2023:Rutland,E06000017
77,3408,4125,3955,4255,5041,5227,6213,5909,6556,4823,5893,6153,3893,2400,2813,2704,2563,2699,3624,3667,4049,3839,3726,3912,2797,3651,3220,2484,ladu2023:Nottingham,E06000018
78,5217,6518,6502,7349,8282,8309,9292,8225,8993,7236,9011,9846,5682,3374,4275,3937,4234,4534,6173,6209,7111,6707,6382,5902,4653,7531,5834,3742,ladu2023:North Northamptonshire,E06000061
79,7866,9872,9450,9660,10328,10358,11817,10079,11182,8422,10346,10392,6324,4255,5309,4709,4961,5547,7346,7050,8311,7377,7143,6711,5456,8637,6476,4657,ladu2023:West Northamptonshire,E06000062
80,1982,2400,2273,2602,2550,2634,3092,2729,2925,2175,2695,2913,1846,1279,1590,1540,1495,1642,2081,2129,2426,2328,2259,2336,1863,2672,2226,1577,ladu2023:Amber Valley,E07000032
81,1041,1178,1175,1209,1441,1704,1935,1766,1828,1392,1604,1708,1066,754,857,834,804,869,1224,1153,1449,1387,1297,1412,1217,1740,1502,932,ladu2023:Bolsover,E07000033
82,1382,1561,1505,1723,1848,2022,2267,2248,2234,1710,2076,2252,1367,881,1070,1019,1135,1136,1613,1507,1662,1532,1534,1543,1299,2037,1555,1217,ladu2023:Chesterfield,E07000034
83,1109,1391,1296,1277,1327,1235,1431,1333,1455,1029,1291,1421,900,706,973,842,871,986,1165,1133,1276,1208,1191,1201,1020,1760,1078,786,ladu2023:Derbyshire Dales,E07000035
84,1864,2310,2400,2504,2550,2504,2855,2363,2558,2114,2581,2641,1716,1228,1566,1366,1422,1626,1927,1908,2006,1889,1883,1902,1650,2243,1794,1306,ladu2023:Erewash,E07000036
85,1485,1731,1738,1979,2078,2076,2278,2159,2305,1793,2222,2149,1191,776,1052,1011,1069,1226,1503,1478,1668,1649,1630,1633,1227,2055,1559,1096,ladu2023:High Peak,E07000037
86,1394,1510,1403,1624,1658,1611,1914,1779,1671,1483,1723,1981,1154,804,1139,929,981,1116,1321,1408,1494,1503,1587,1657,1399,2220,1652,1155,ladu2023:North East Derbyshire,E07000038
87,1449,1869,1925,2164,2185,2280,2666,2343,2573,2076,2336,2453,1614,1029,1330,1212,1204,1458,1860,1797,2178,2286,2385,2400,1997,2974,2203,1314,ladu2023:South Derbyshire,E07000039
88,1715,2085,2083,2118,2186,2184,2399,1892,2130,1483,1974,2172,1313,842,1094,1186,1209,1403,1801,1799,1993,2060,1913,1712,1445,2204,1483,1038,ladu2023:Blaby,E07000129
89,2914,3400,3199,3320,3280,3222,3722,3312,3870,2751,3817,4050,2508,1892,2284,2114,2294,2433,2936,2932,3092,3048,3218,3088,2380,3454,2485,1925,ladu2023:Charnwood,E07000130
90,1649,1966,1774,2199,2433,2293,2430,1896,2097,1624,2057,2104,1334,1042,1358,1116,1268,1454,1937,1830,1816,1734,1848,1612,1695,2897,1783,1168,ladu2023:Harborough,E07000131
91,1880,2357,2150,2311,2424,2607,3000,2479,2905,2048,2471,2541,1566,1088,1387,1292,1351,1584,2274,2320,2427,2189,2074,1955,1585,2547,1907,1382,ladu2023:Hinckley and Bosworth,E07000132
92,845,1107,1012,1202,1212,1107,1199,1035,1095,855,1020,1072,721,628,802,648,674,713,890,908,800,804,856,825,718,1181,900,532,ladu2023:Melton,E07000133
93,1563,1911,1844,1907,2255,2275,2614,2180,2272,1719,2288,2223,1356,930,1158,1119,1181,1422,1945,1850,1999,2223,2208,1971,1697,2595,1901,1262,ladu2023:North West Leicestershire,E07000134
94,900,1040,973,1081,1127,1119,1275,1109,1211,904,1120,1100,661,500,644,636,574,681,760,825,967,776,734,774,664,1101,746,533,ladu2023:Oadby and Wigston,E07000135
